iso3_o,iso3_d,baseline modeled trade,experiment trade,trade change (percent),baseline observed trade,experiment observed trade,trade change (observed level)
IND,SAU,144647621.7412823,156067181.06348044,7.894743919553148,5046087.5,5444463.186081581,398375.6860815808
IND,USA,554203680.7623585,708534455.9599011,27.847302454802584,41950544.0,53632638.86911504,11682094.86911504
IRQ,ARE,10336127.687014429,11058913.651233025,6.992811874089486,1612638.375,1725407.1427731237,112768.76777312369
IRQ,BHR,910275.0667026417,1085947.8669123547,19.29886982910187,137.747,164.33061422349297,26.583614223492958
IRQ,IND,38354365.58978109,41069480.396057926,7.079024159378181,9417555.0,10084225.993672727,666670.9936727267
IRQ,IRQ,25403384.073093154,26623341.812956497,4.802343405717755,,,
IRQ,ISR,9871808.057591975,12154236.448569227,23.120672298950712,,,
IRQ,JOR,1020742.34004277,1246115.153098016,22.079304856287504,2525.255,3082.813749848643,557.558749848643
IRQ,MAR,1390847.3847673591,1716073.0263522211,23.38327304251725,556.401,686.5057650412963,130.10476504129633
IRQ,OMN,1869779.4355899415,2229002.328952324,19.212046433115404,44365.559,52889.09079539121,8523.531795391209
IRQ,QAT,4934256.8973945,5285156.368348647,7.11149577841067,632.61,677.5980334438038,44.98803344380383
IRQ,SAU,17429230.137213413,18405392.446163926,5.600719603020759,5861.147,6189.413408990863,328.26640899086306
IRQ,USA,59968184.78490741,75037621.76822615,25.12905307600934,5627408.5,7041522.968768861,1414114.4687688611
ISR,ARE,7843579.051106597,9858909.142344262,25.694011344901735,,,
ISR,BHR,930086.4281439538,905664.4736816182,-2.625772586647793,,,
ISR,IND,33499233.41543348,42140458.6989993,25.795292615814628,2397524.0,3015972.3313343837,618448.3313343837
ISR,IRQ,9871808.048661051,12154236.448569246,23.120672410336912,,,
ISR,ISR,129750528.26242597,130391057.77352172,0.49366235318922874,,,
ISR,JOR,7208656.624941557,7182970.488242921,-0.3563234876490395,48414.0,48241.4895466896,-172.51045331040223
ISR,MAR,2464107.761465382,2481553.7075166153,0.7080025607670059,17281.0,17403.349922526144,122.34992252614393
ISR,OMN,2161863.430843756,2103565.7642909964,-2.696639654522795,,,
ISR,QAT,3653332.746647563,4597114.2670731675,25.833439926643813,,,
ISR,SAU,25707127.628069088,31891901.666465513,24.058596230110894,,,
ISR,USA,95653351.33634977,97693584.38566557,2.132944659870453,17613056.0,17988732.737391993,375676.7373919934
JOR,ARE,1422173.2850881487,1772467.056814028,24.630878346457443,305434.344,380665.50569894037,75231.16169894038
JOR,BHR,170560.7293522245,164677.452049443,-3.449373912228036,53843.777,51986.50380280376,-1857.273197196242
JOR,IND,5956053.192695631,7429062.75282751,24.731302969865098,455469.219,568112.6914853683,112643.47248536831
JOR,IRQ,1020742.3390101754,1246115.1530980165,22.079304979784364,370425.469,452212.83802330657,81787.36902330659
JOR,ISR,7208656.624170805,7182970.48824292,-0.3563234769951383,60115.359,59901.15386260309,-214.20513739690796
JOR,JOR,2305288.844944432,2277645.6642095107,-1.1991200493397423,,,
JOR,MAR,420109.16055008635,419505.05962056475,-0.14379618114744347,6649.037,6639.47593871092,-9.561061289080499
JOR,OMN,389550.51745685824,375839.7354729059,-3.5196415790849938,66267.172,63934.805061004234,-2332.366938995772
JOR,QAT,667216.4974533552,832480.2032544989,24.76912762677862,156619.969,195413.3690106311,38793.4000106311
JOR,SAU,2560753.222200769,3149964.504332758,23.00929574250843,771200.938,948648.842593419,177447.90459341905
JOR,USA,16533621.715959223,16743448.852613997,1.2690936097336512,1365694.0,1383025.9352825158,17331.935282515828
MAR,ARE,1771372.8705389411,2231258.4767478835,25.96210057507666,97931.211,123356.21049421054,25424.99949421054
MAR,BHR,184539.05886536534,180076.74603388613,-2.4180858290465186,4795.584,4679.622662875978,-115.96133712402207
MAR,IND,10188578.89527753,12844089.126799809,26.063597865970536,758131.688,955728.0824548145,197596.3944548145
MAR,IRQ,1390847.384817164,1716073.0263522204,23.38327303809897,16277.919,20084.22924469059,3806.3102446905887
MAR,ISR,2464107.763782873,2481553.707516611,0.708002466051056,,,
MAR,JOR,420109.16099011677,419505.05962056393,-0.1437962857389463,26335.168,26297.299006572888,-37.86899342711331
MAR,MAR,10436225.277786627,10532530.747309605,0.922799833843777,,,
MAR,OMN,528578.8371293016,515421.9599011331,-2.4891040473022352,7946.109,7748.322079277953,-197.7869207220474
MAR,QAT,753252.8363214167,949865.5850666327,26.101826540128744,11335.413,14294.162838867203,2958.749838867203
MAR,SAU,4710784.925252787,5856598.43837965,24.323197329272624,89279.328,110994.91512368854,21715.587123688543
